nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
int8,2,33554432,NCCL,reduce_scatter,0.12112
int8,2,67108864,NCCL,reduce_scatter,0.2278
int8,2,134217728,NCCL,reduce_scatter,0.4184
int8,2,268435456,NCCL,reduce_scatter,0.7837999999999999
int8,2,536870912,NCCL,reduce_scatter,1.469
half,4,1024,NCCL,all_gather,0.04274
half,4,2048,NCCL,all_gather,0.04576
half,4,4096,NCCL,all_gather,0.0434
half,4,8192,NCCL,all_gather,0.04328
half,4,16384,NCCL,all_gather,0.0454
half,4,32768,NCCL,all_gather,0.046
half,4,65536,NCCL,all_gather,0.04648
half,4,131072,NCCL,all_gather,0.04546
half,4,262144,NCCL,all_gather,0.04478
half,4,524288,NCCL,all_gather,0.04596
half,4,1048576,NCCL,all_gather,0.05138
half,4,2097152,NCCL,all_gather,0.055380000000000006
half,4,4194304,NCCL,all_gather,0.1048
half,4,8388608,NCCL,all_gather,0.11794
half,4,16777216,NCCL,all_gather,0.14524
half,4,33554432,NCCL,all_gather,0.218
half,4,67108864,NCCL,all_gather,0.3954
half,4,134217728,NCCL,all_gather,0.7448
half,4,268435456,NCCL,all_gather,1.4302000000000001
int8,4,2048,NCCL,all_gather,0.043840000000000004
int8,4,4096,NCCL,all_gather,0.04598
int8,4,8192,NCCL,all_gather,0.04158
int8,4,16384,NCCL,all_gather,0.04304
int8,4,32768,NCCL,all_gather,0.04528
int8,4,65536,NCCL,all_gather,0.043680000000000004
int8,4,131072,NCCL,all_gather,0.04544
int8,4,262144,NCCL,all_gather,0.045340000000000005
int8,4,524288,NCCL,all_gather,0.04506
int8,4,1048576,NCCL,all_gather,0.04518
int8,4,2097152,NCCL,all_gather,0.04828
int8,4,4194304,NCCL,all_gather,0.05398
int8,4,8388608,NCCL,all_gather,0.10492
int8,4,16777216,NCCL,all_gather,0.11804
int8,4,33554432,NCCL,all_gather,0.14648
int8,4,67108864,NCCL,all_gather,0.2194
int8,4,134217728,NCCL,all_gather,0.3954
int8,4,268435456,NCCL,all_gather,0.7438
int8,4,536870912,NCCL,all_gather,1.4292
half,4,1024,NCCL,alltoall,0.302
half,4,2048,NCCL,alltoall,0.311
half,4,4096,NCCL,alltoall,0.295
half,4,8192,NCCL,alltoall,0.33280000000000004
half,4,16384,NCCL,alltoall,0.322
half,4,32768,NCCL,alltoall,0.30260000000000004
half,4,65536,NCCL,alltoall,0.3118
half,4,131072,NCCL,alltoall,0.31839999999999996
half,4,262144,NCCL,alltoall,0.2984
half,4,524288,NCCL,alltoall,0.31760000000000005
half,4,1048576,NCCL,alltoall,0.3072
half,4,2097152,NCCL,alltoall,0.3072
half,4,4194304,NCCL,alltoall,0.304
half,4,8388608,NCCL,alltoall,0.3334
half,4,16777216,NCCL,alltoall,0.3072
half,4,33554432,NCCL,alltoall,0.33380000000000004
half,4,67108864,NCCL,alltoall,0.4574
half,4,134217728,NCCL,alltoall,0.8536
half,4,268435456,NCCL,alltoall,1.6374000000000002
int8,4,2048,NCCL,alltoall,0.3038
int8,4,4096,NCCL,alltoall,0.295
int8,4,8192,NCCL,alltoall,0.2944
int8,4,16384,NCCL,alltoall,0.3084
int8,4,32768,NCCL,alltoall,0.297
int8,4,65536,NCCL,alltoall,0.31339999999999996
int8,4,131072,NCCL,alltoall,0.29660000000000003
int8,4,262144,NCCL,alltoall,0.29460000000000003
int8,4,524288,NCCL,alltoall,0.2856
int8,4,1048576,NCCL,alltoall,0.30460000000000004
int8,4,2097152,NCCL,alltoall,0.31
int8,4,4194304,NCCL,alltoall,0.3088
int8,4,8388608,NCCL,alltoall,0.306
int8,4,16777216,NCCL,alltoall,0.3074
int8,4,33554432,NCCL,alltoall,0.33780000000000004
int8,4,67108864,NCCL,alltoall,0.353
int8,4,134217728,NCCL,alltoall,0.4904
int8,4,268435456,NCCL,alltoall,0.8534
int8,4,536870912,NCCL,alltoall,1.6385999999999998
half,4,1024,NCCL,reduce_scatter,0.04308
half,4,2048,NCCL,reduce_scatter,0.04364
half,4,4096,NCCL,reduce_scatter,0.0428
half,4,8192,NCCL,reduce_scatter,0.0437
half,4,16384,NCCL,reduce_scatter,0.04242
half,4,32768,NCCL,reduce_scatter,0.0434
half,4,65536,NCCL,reduce_scatter,0.047240000000000004
half,4,131072,NCCL,reduce_scatter,0.04362
half,4,262144,NCCL,reduce_scatter,0.04432
half,4,524288,NCCL,reduce_scatter,0.0468
half,4,1048576,NCCL,reduce_scatter,0.048740000000000006
half,4,2097152,NCCL,reduce_scatter,0.05416
half,4,4194304,NCCL,reduce_scatter,0.10128000000000001
half,4,8388608,NCCL,reduce_scatter,0.1133
half,4,16777216,NCCL,reduce_scatter,0.14552
half,4,33554432,NCCL,reduce_scatter,0.2194
half,4,67108864,NCCL,reduce_scatter,0.4076
half,4,134217728,NCCL,reduce_scatter,0.7734
half,4,268435456,NCCL,reduce_scatter,1.4554
int8,4,2048,NCCL,reduce_scatter,0.04226
int8,4,4096,NCCL,reduce_scatter,0.04382
int8,4,8192,NCCL,reduce_scatter,0.04272
int8,4,16384,NCCL,reduce_scatter,0.041420000000000005
int8,4,32768,NCCL,reduce_scatter,0.04854
int8,4,65536,NCCL,reduce_scatter,0.04496
int8,4,131072,NCCL,reduce_scatter,0.044340000000000004
int8,4,262144,NCCL,reduce_scatter,0.04734000000000001
int8,4,524288,NCCL,reduce_scatter,0.043840000000000004
int8,4,1048576,NCCL,reduce_scatter,0.0428
int8,4,2097152,NCCL,reduce_scatter,0.047439999999999996
int8,4,4194304,NCCL,reduce_scatter,0.05294
int8,4,8388608,NCCL,reduce_scatter,0.10892
int8,4,16777216,NCCL,reduce_scatter,0.12028
int8,4,33554432,NCCL,reduce_scatter,0.15891999999999998
int8,4,67108864,NCCL,reduce_scatter,0.254
int8,4,134217728,NCCL,reduce_scatter,0.5324
int8,4,268435456,NCCL,reduce_scatter,1.0086
int8,4,536870912,NCCL,reduce_scatter,1.9528
half,2,1024,NCCL,all_reduce,0.0221
half,2,2048,NCCL,all_reduce,0.02382
half,2,4096,NCCL,all_reduce,0.02282
half,2,8192,NCCL,all_reduce,0.02318
half,2,16384,NCCL,all_reduce,0.02324
half,2,32768,NCCL,all_reduce,0.025079999999999998
half,2,65536,NCCL,all_reduce,0.02534
half,2,131072,NCCL,all_reduce,0.026760000000000003
half,2,262144,NCCL,all_reduce,0.02596
half,2,524288,NCCL,all_reduce,0.02986
half,2,1048576,NCCL,all_reduce,0.03914
half,2,2097152,NCCL,all_reduce,0.07674
half,2,4194304,NCCL,all_reduce,0.08604
half,2,8388608,NCCL,all_reduce,0.1093
half,2,16777216,NCCL,all_reduce,0.16684000000000002
half,2,33554432,NCCL,all_reduce,0.30160000000000003
half,2,67108864,NCCL,all_reduce,0.556
half,2,134217728,NCCL,all_reduce,1.0412000000000001
half,2,268435456,NCCL,all_reduce,1.9332
int8,2,2048,NCCL,all_reduce,0.023420000000000003
int8,2,4096,NCCL,all_reduce,0.0245
int8,2,8192,NCCL,all_reduce,0.023559999999999998
int8,2,16384,NCCL,all_reduce,0.023280000000000002
int8,2,32768,NCCL,all_reduce,0.02468
int8,2,65536,NCCL,all_reduce,0.024480000000000002
int8,2,131072,NCCL,all_reduce,0.0272
int8,2,262144,NCCL,all_reduce,0.0245
int8,2,524288,NCCL,all_reduce,0.028480000000000002
int8,2,1048576,NCCL,all_reduce,0.03126
int8,2,2097152,NCCL,all_reduce,0.04262
int8,2,4194304,NCCL,all_reduce,0.07823999999999999
int8,2,8388608,NCCL,all_reduce,0.08864
int8,2,16777216,NCCL,all_reduce,0.11194
int8,2,33554432,NCCL,all_reduce,0.17484
int8,2,67108864,NCCL,all_reduce,0.31560000000000005
int8,2,134217728,NCCL,all_reduce,0.585
int8,2,268435456,NCCL,all_reduce,1.1042
int8,2,536870912,NCCL,all_reduce,2.071
half,4,1024,NCCL,all_reduce,0.04462
half,4,2048,NCCL,all_reduce,0.04444
half,4,4096,NCCL,all_reduce,0.04572
half,4,8192,NCCL,all_reduce,0.04668
half,4,16384,NCCL,all_reduce,0.044840000000000005
half,4,32768,NCCL,all_reduce,0.04364
half,4,65536,NCCL,all_reduce,0.04356
half,4,131072,NCCL,all_reduce,0.04316
half,4,262144,NCCL,all_reduce,0.045200000000000004
half,4,524288,NCCL,all_reduce,0.046079999999999996
half,4,1048576,NCCL,all_reduce,0.05292
half,4,2097152,NCCL,all_reduce,0.07374
half,4,4194304,NCCL,all_reduce,0.09212000000000001
half,4,8388608,NCCL,all_reduce,0.14822
half,4,16777216,NCCL,all_reduce,0.2472
half,4,33554432,NCCL,all_reduce,0.3678
half,4,67108864,NCCL,all_reduce,0.7012
half,4,134217728,NCCL,all_reduce,1.3502
half,4,268435456,NCCL,all_reduce,2.5782
int8,4,2048,NCCL,all_reduce,0.04316
int8,4,4096,NCCL,all_reduce,0.0437
int8,4,8192,NCCL,all_reduce,0.04804
int8,4,16384,NCCL,all_reduce,0.04464
int8,4,32768,NCCL,all_reduce,0.043320000000000004
int8,4,65536,NCCL,all_reduce,0.04356
int8,4,131072,NCCL,all_reduce,0.0476
int8,4,262144,NCCL,all_reduce,0.047420000000000004
int8,4,524288,NCCL,all_reduce,0.04778
int8,4,1048576,NCCL,all_reduce,0.04988
int8,4,2097152,NCCL,all_reduce,0.05576
int8,4,4194304,NCCL,all_reduce,0.08034000000000001
int8,4,8388608,NCCL,all_reduce,0.09256
int8,4,16777216,NCCL,all_reduce,0.15294
int8,4,33554432,NCCL,all_reduce,0.249
int8,4,67108864,NCCL,all_reduce,0.3778
int8,4,134217728,NCCL,all_reduce,0.7208
int8,4,268435456,NCCL,all_reduce,1.3824
int8,4,536870912,NCCL,all_reduce,2.6462
half,8,128,NCCL,all_reduce,0.054
half,8,256,NCCL,all_reduce,0.054920000000000004
half,8,512,NCCL,all_reduce,0.05554
half,8,1024,NCCL,all_reduce,0.05634
half,8,2048,NCCL,all_reduce,0.05676
half,8,4096,NCCL,all_reduce,0.057240000000000006
half,8,8192,NCCL,all_reduce,0.0577
half,8,16384,NCCL,all_reduce,0.058820000000000004
half,8,32768,NCCL,all_reduce,0.05944
half,8,65536,NCCL,all_reduce,0.05998
half,8,131072,NCCL,all_reduce,0.06106
half,8,262144,NCCL,all_reduce,0.06124
half,8,524288,NCCL,all_reduce,0.06246
half,8,1048576,NCCL,all_reduce,0.07416
half,8,2097152,NCCL,all_reduce,0.1044
half,8,4194304,NCCL,all_reduce,0.13524
half,8,8388608,NCCL,all_reduce,0.2022
half,8,16777216,NCCL,all_reduce,0.314
half,8,33554432,NCCL,all_reduce,0.5272
half,8,67108864,NCCL,all_reduce,0.771
half,8,134217728,NCCL,all_reduce,1.3938
half,8,268435456,NCCL,all_reduce,2.6426
half,8,536870912,NCCL,all_reduce,5.118
half,8,1073741824,NCCL,all_reduce,9.1036
half,8,2147483648,NCCL,all_reduce,18.0098
half,8,4294967296,NCCL,all_reduce,35.766
int8,8,256,NCCL,all_reduce,0.053520000000000005
int8,8,512,NCCL,all_reduce,0.054200000000000005
int8,8,1024,NCCL,all_reduce,0.05484000000000001
int8,8,2048,NCCL,all_reduce,0.05528
int8,8,4096,NCCL,all_reduce,0.05604
int8,8,8192,NCCL,all_reduce,0.05662
int8,8,16384,NCCL,all_reduce,0.057420000000000006
int8,8,32768,NCCL,all_reduce,0.058820000000000004
int8,8,65536,NCCL,all_reduce,0.05964
int8,8,131072,NCCL,all_reduce,0.06042
int8,8,262144,NCCL,all_reduce,0.06048
int8,8,524288,NCCL,all_reduce,0.06126
int8,8,1048576,NCCL,all_reduce,0.06308
int8,8,2097152,NCCL,all_reduce,0.07684
int8,8,4194304,NCCL,all_reduce,0.11276000000000001
int8,8,8388608,NCCL,all_reduce,0.12436
int8,8,16777216,NCCL,all_reduce,0.18298
int8,8,33554432,NCCL,all_reduce,0.30319999999999997
int8,8,67108864,NCCL,all_reduce,0.5054
int8,8,134217728,NCCL,all_reduce,0.7742000000000001
int8,8,268435456,NCCL,all_reduce,1.5172
int8,8,536870912,NCCL,all_reduce,2.9802
int8,8,1073741824,NCCL,all_reduce,5.8066
int8,8,2147483648,NCCL,all_reduce,11.3244
int8,8,4294967296,NCCL,all_reduce,22.382
int8,8,8589934592,NCCL,all_reduce,44.504
half,16,128,NCCL,all_reduce,0.09240000000000001
half,16,256,NCCL,all_reduce,0.09336
half,16,512,NCCL,all_reduce,0.09482
half,16,1024,NCCL,all_reduce,0.096
half,16,2048,NCCL,all_reduce,0.09786
half,16,4096,NCCL,all_reduce,0.09845999999999999
half,16,8192,NCCL,all_reduce,0.09926
half,16,16384,NCCL,all_reduce,0.0999
half,16,32768,NCCL,all_reduce,0.10242
half,16,65536,NCCL,all_reduce,0.08546
half,16,131072,NCCL,all_reduce,0.08744
half,16,262144,NCCL,all_reduce,0.08922000000000001
half,16,524288,NCCL,all_reduce,0.09248
half,16,1048576,NCCL,all_reduce,0.09686
half,16,2097152,NCCL,all_reduce,0.11464
half,16,4194304,NCCL,all_reduce,0.15874000000000002
half,16,8388608,NCCL,all_reduce,0.219
half,16,16777216,NCCL,all_reduce,0.3454
half,16,33554432,NCCL,all_reduce,0.5466000000000001
half,16,67108864,NCCL,all_reduce,0.9176000000000001
half,16,134217728,NCCL,all_reduce,1.5146
half,16,268435456,NCCL,all_reduce,2.69
half,16,536870912,NCCL,all_reduce,4.8852
half,16,1073741824,NCCL,all_reduce,9.295
half,16,2147483648,NCCL,all_reduce,18.171
half,16,4294967296,NCCL,all_reduce,35.654
int8,16,256,NCCL,all_reduce,0.0921
